PLAYER,TEAM,GP,W,L,MP,PTS,TOUCHES,FRONT CT TOUCHES,TIME OF POSS,AVG SEC PER TOUCH,AVG DRIB PER TOUCH, PTS PER TOUCH, ELBOW TOUCHES,POST UPS,PAINT TOUCHES,PTS PER ELBOW TOUCH,PTS PER POST TOUCH, PTS PER PAINT TOUCH,SEASON
James Jones,CLEVELAND CAVALIERS,48,28,20,7.9,2.8,11.3,5.5,0.3,1.62,0.37,0.244,0.2,0.1,0.2,0.0,1.286,0.7,2017
James Michael McAdoo,GOLDEN STATE WARRIORS,52,43,9,8.8,2.8,14.3,8.7,0.4,1.58,0.48,0.198,1.4,0.6,2.4,0.292,0.267,0.76,2017
James Young,BOSTON CELTICS,29,16,13,7.6,2.3,7.9,6.1,0.2,1.62,0.66,0.296,0.1,0.0,0.3,0.0,2.0,1.3,2017
Jared Dudley,,64,17,47,21.3,6.8,46.5,25.7,1.1,1.45,0.47,0.146,1.0,0.9,1.0,0.385,0.327,0.677,2017
Jared Sullinger,TORONTO RAPTORS,11,2,9,10.7,3.4,17.5,11.0,0.5,1.55,0.52,0.193,0.8,0.5,2.2,0.222,0.167,0.708,2017
Jarell Eddie,,5,0,5,12.5,4.8,12.0,9.6,0.3,1.51,0.7,0.4,0.0,0.0,0.4,0.0,0.0,2.0,2017
Jarell Martin,MEMPHIS GRIZZLIES,42,23,19,13.3,3.9,22.5,10.0,0.7,1.81,0.56,0.174,0.6,0.3,1.8,0.4,0.5,0.649,2017
Jarnell Stokes,DENVER NUGGETS,2,0,2,3.3,1.5,3.5,2.5,0.1,1.19,0.14,0.429,0.0,0.5,2.5,0.0,2.0,0.8,2017
Jarrett Jack,NEW ORLEANS PELICANS,2,1,1,16.5,3.0,30.5,15.5,1.8,3.5,2.95,0.098,0.5,0.0,0.0,2.0,0.0,0.0,2017
Jarrod Uthoff,DALLAS MAVERICKS,9,2,7,12.7,4.4,18.8,12.1,0.6,1.95,0.63,0.237,0.7,0.9,2.1,0.5,0.0,0.526,2017
Jason Smith,WASHINGTON WIZARDS,74,45,29,14.4,5.7,25.4,11.9,0.5,1.29,0.18,0.224,1.5,0.2,1.2,0.313,0.0,0.787,2017
Jason Terry,MILWAUKEE BUCKS,74,37,37,18.4,4.1,21.8,13.0,0.7,2.03,1.38,0.19,0.4,0.0,0.4,0.188,0.667,0.385,2017
Jaylen Brown,BOSTON CELTICS,78,50,28,17.2,6.6,21.9,15.7,0.8,2.06,1.3,0.301,0.4,0.6,1.6,0.5,0.62,0.833,2017
Jeff Green,ORLANDO MAGIC,69,26,43,22.2,9.2,32.6,22.8,1.3,2.34,1.1,0.284,0.6,1.6,1.2,0.659,0.458,0.864,2017
Jeff Teague,INDIANA PACERS,81,42,39,32.5,15.3,76.6,25.0,7.0,5.46,5.41,0.2,0.5,0.2,0.6,0.378,0.286,0.58,2017
Jeff Withey,UTAH JAZZ,51,33,18,8.5,2.9,12.8,6.9,0.3,1.31,0.23,0.224,1.1,0.2,2.6,0.556,0.0,0.842,2017
Jerami Grant,OKLAHOMA CITY THUNDER,80,43,37,19.1,5.5,23.5,13.2,0.6,1.6,0.55,0.232,0.7,0.2,1.0,0.463,0.294,0.842,2017
Jeremy Lamb,,62,27,35,18.4,9.7,26.6,18.7,1.6,3.51,2.7,0.365,0.6,0.1,1.0,0.944,1.6,0.966,2017
Jeremy Lin,,35,13,22,24.5,14.6,61.5,22.3,4.8,4.66,4.39,0.237,0.8,0.7,0.9,0.429,0.435,0.515,2017
Jerian Grant,CHICAGO BULLS,63,29,34,16.3,5.9,27.8,13.3,1.8,3.97,3.71,0.211,0.2,0.3,0.2,0.6,0.5,0.333,2017
Jerryd Bayless,PHILADELPHIA 76ERS,3,1,2,23.8,11.0,70.3,30.0,5.6,4.79,4.26,0.156,0.0,0.0,0.7,0.0,0.0,0.0,2017
Jimmy Butler,CHICAGO BULLS,76,40,36,37.0,23.9,70.3,43.0,5.3,4.48,3.53,0.34,2.2,3.5,3.7,0.482,0.414,0.732,2017
Joakim Noah,NEW YORK KNICKS,46,17,29,22.1,5.0,47.7,25.7,1.2,1.48,0.43,0.106,3.2,0.7,6.1,0.228,0.206,0.552,2017
Jodie Meeks,ORLANDO MAGIC,36,14,22,20.5,9.1,24.3,19.7,0.8,1.87,1.33,0.375,0.5,0.0,0.4,0.5,0.0,1.308,2017
Joe Harris,,51,10,41,21.9,8.3,29.5,22.2,0.9,1.87,1.17,0.281,0.7,0.0,1.0,0.658,0.0,0.808,2017
Joe Ingles,UTAH JAZZ,82,51,31,24.1,7.1,36.5,26.2,1.7,2.8,1.77,0.194,0.4,0.2,0.5,0.257,0.071,0.432,2017
Joe Johnson,UTAH JAZZ,78,47,31,23.6,9.2,35.7,24.8,1.7,2.79,1.86,0.257,0.6,1.7,0.7,0.447,0.29,0.698,2017
Joe Young,INDIANA PACERS,32,18,14,4.1,2.0,10.1,3.8,0.9,5.44,5.1,0.195,0.0,0.0,0.2,2.0,0.0,1.2,2017
Joel Anthony,SAN ANTONIO SPURS,19,15,4,6.4,1.3,6.5,3.5,0.2,1.75,0.36,0.203,0.8,0.2,1.5,0.188,0.0,0.536,2017
Joel Bolomboy,UTAH JAZZ,12,8,4,4.4,1.8,7.0,3.4,0.2,1.76,0.57,0.262,0.6,0.2,1.8,0.571,1.5,0.762,2017
Joel Embiid,PHILADELPHIA 76ERS,31,13,18,25.4,20.2,63.4,45.9,2.2,2.07,0.78,0.319,3.1,10.9,6.1,0.295,0.555,0.847,2017
Joffrey Lauvergne,CHICAGO BULLS,70,41,29,14.0,5.4,23.0,13.5,0.6,1.61,0.55,0.233,1.7,0.9,3.1,0.414,0.484,0.639,2017
John Henson,MILWAUKEE BUCKS,58,26,32,19.4,6.8,23.6,16.1,0.6,1.53,0.36,0.287,4.1,1.3,6.5,0.14,0.37,0.788,2017
John Jenkins,,4,0,4,3.2,1.8,4.3,3.0,0.2,2.18,1.18,0.412,0.0,0.0,0.0,0.0,0.0,0.0,2017
John Lucas III,MINNESOTA TIMBERWOLVES,5,3,2,2.1,0.4,3.4,1.6,0.2,4.03,3.76,0.118,0.0,0.0,0.0,0.0,0.0,0.0,2017
John Wall,WASHINGTON WIZARDS,78,48,30,36.4,23.1,89.3,23.7,9.5,6.39,5.95,0.259,0.6,0.2,1.0,0.289,0.412,0.564,2017
Johnny O'Bryant III,,11,4,7,7.3,3.5,8.7,6.2,0.2,1.71,0.6,0.396,1.1,0.8,1.7,0.583,0.444,0.579,2017
Jon Leuer,DETROIT PISTONS,75,34,41,25.9,10.2,45.2,25.1,1.2,1.58,0.57,0.226,1.7,1.1,3.1,0.477,0.679,1.031,2017
Jonas Jerebko,BOSTON CELTICS,78,51,27,15.8,3.8,29.2,15.6,0.7,1.47,0.44,0.131,0.4,0.1,1.3,0.345,0.4,0.634,2017
Jonas Valanciunas,TORONTO RAPTORS,79,49,30,25.9,12.0,45.4,23.2,1.3,1.75,0.38,0.265,3.1,4.4,7.0,0.624,0.587,0.908,2017
Jonathan Gibson,DALLAS MAVERICKS,17,4,13,13.6,6.2,34.3,14.5,2.5,4.4,4.21,0.182,0.2,0.0,0.1,0.667,0.0,0.0,2017
Jonathon Simmons,SAN ANTONIO SPURS,77,60,17,17.9,6.2,27.1,18.5,1.3,2.95,2.32,0.228,0.4,0.1,0.8,0.677,0.333,0.703,2017
Jordan Clarkson,LOS ANGELES LAKERS,82,26,56,29.2,14.7,46.4,27.0,3.0,3.93,3.05,0.316,0.6,0.2,1.2,0.625,0.529,0.775,2017
Jordan Crawford,NEW ORLEANS PELICANS,19,9,10,23.3,14.1,40.5,26.6,2.0,2.97,2.31,0.347,0.5,0.1,0.3,0.6,0.0,0.4,2017
Jordan Farmar,SACRAMENTO KINGS,2,1,1,17.7,6.0,50.0,23.0,3.8,4.58,4.38,0.12,0.0,0.0,0.0,0.0,0.0,0.0,2017
Jordan Hill,MINNESOTA TIMBERWOLVES,7,2,5,6.7,1.7,7.9,4.7,0.3,2.17,0.67,0.218,0.7,0.9,1.4,0.0,0.333,0.6,2017
Jordan McRae,CLEVELAND CAVALIERS,37,26,11,10.4,4.4,14.4,7.9,0.8,3.38,2.74,0.303,0.1,0.0,0.4,0.0,0.0,0.846,2017
Jordan Mickey,BOSTON CELTICS,25,9,16,5.6,1.5,10.1,6.4,0.3,1.64,0.74,0.15,0.5,0.2,1.2,0.615,0.0,0.733,2017
Jose Calderon,ATLANTA HAWKS,41,15,26,13.1,3.4,31.9,13.3,2.2,4.07,3.7,0.108,0.2,0.0,0.4,0.5,0.0,0.563,2017
Josh Huestis,OKLAHOMA CITY THUNDER,2,0,2,15.4,7.0,19.5,14.0,0.4,1.09,0.23,0.359,0.0,0.0,1.5,0.0,0.0,1.333,2017
Josh McRoberts,MIAMI HEAT,22,6,16,17.3,4.9,40.5,22.3,1.4,2.1,0.93,0.12,2.4,1.1,2.0,0.154,0.0,0.578,2017
Josh Richardson,MIAMI HEAT,53,23,30,30.5,10.2,50.8,26.5,3.2,3.73,3.23,0.2,0.6,0.0,0.9,0.233,1.0,0.388,2017
Jrue Holiday,NEW ORLEANS PELICANS,67,32,35,32.7,15.4,82.0,34.3,5.8,4.25,3.96,0.187,0.6,0.3,1.3,0.333,0.174,0.739,2017
Juancho Hernangomez,DENVER NUGGETS,61,29,32,13.7,4.9,17.7,10.0,0.5,1.58,0.58,0.279,0.2,0.3,1.6,1.071,0.438,0.825,2017
Julius Randle,LOS ANGELES LAKERS,74,24,50,28.8,13.2,55.4,31.4,2.4,2.63,1.47,0.238,3.0,3.3,4.5,0.486,0.407,0.873,2017
Justin Anderson,PHILADELPHIA 76ERS,74,23,51,16.6,7.2,28.2,18.4,1.0,2.16,0.92,0.255,0.5,0.1,1.3,0.825,0.0,0.776,2017
Justin Hamilton,,63,14,49,18.3,6.9,32.3,19.6,0.7,1.24,0.37,0.215,1.2,0.7,3.1,0.59,0.319,0.903,2017
Justin Harper,PHILADELPHIA 76ERS,3,1,2,10.4,4.0,19.3,13.7,0.4,1.35,0.46,0.207,1.3,0.3,1.3,0.5,0.0,0.5,2017
Justin Holiday,NEW YORK KNICKS,82,31,51,20.0,7.7,28.0,21.1,0.9,1.88,1.05,0.274,0.6,0.1,1.1,0.596,0.8,0.943,2017
Justise Winslow,MIAMI HEAT,18,4,14,34.7,10.9,64.2,33.6,3.3,3.12,2.41,0.17,1.8,0.7,2.7,0.219,0.462,0.5,2017
Jusuf Nurkic,PORTLAND TRAIL BLAZERS,64,33,31,21.6,10.3,44.3,26.3,1.3,1.78,0.58,0.233,3.0,5.0,5.9,0.596,0.53,0.743,2017
KJ McDaniels,,49,28,21,10.3,4.2,11.3,8.1,0.4,2.37,1.5,0.373,0.2,0.0,0.9,1.0,1.0,0.857,2017
Karl-Anthony Towns,MINNESOTA TIMBERWOLVES,82,31,51,37.0,25.1,70.2,43.8,2.3,1.93,0.57,0.358,3.5,11.0,8.4,0.734,0.592,1.01,2017
Kawhi Leonard,SAN ANTONIO SPURS,73,54,19,33.5,25.3,57.5,40.5,3.5,3.71,3.06,0.441,1.7,3.7,2.1,0.691,0.554,0.843,2017
Kay Felder,CLEVELAND CAVALIERS,42,25,17,9.2,4.0,18.9,5.8,1.8,5.65,5.95,0.209,0.1,0.0,0.2,0.0,0.0,0.286,2017
Kelly Olynyk,BOSTON CELTICS,75,49,26,20.5,9.0,42.8,26.7,1.2,1.66,0.58,0.211,1.0,1.2,3.3,0.623,0.736,0.9,2017
Kelly Oubre Jr.,WASHINGTON WIZARDS,79,47,32,20.3,6.3,21.8,14.6,0.7,1.88,0.91,0.291,0.3,0.1,1.3,0.56,0.714,0.808,2017
Kemba Walker,,79,36,43,34.7,23.2,85.9,29.7,8.2,5.75,5.72,0.27,0.5,0.0,0.7,0.395,0.0,0.576,2017
Kenneth Faried,DENVER NUGGETS,60,28,32,21.3,9.5,31.3,16.4,0.9,1.68,0.65,0.305,2.0,1.1,6.3,0.708,0.651,0.934,2017
Kent Bazemore,ATLANTA HAWKS,73,39,34,26.9,11.0,42.0,27.5,1.7,2.5,1.79,0.261,0.6,0.0,1.4,0.419,1.0,0.657,2017
Kentavious Caldwell-Pope,DETROIT PISTONS,76,33,43,33.3,13.8,40.8,32.4,1.5,2.27,1.48,0.338,0.8,0.0,1.1,0.565,0.667,0.518,2017
Kevin Durant,GOLDEN STATE WARRIORS,62,51,11,33.4,25.1,61.1,38.4,2.7,2.67,1.63,0.411,2.7,3.7,2.8,0.778,0.489,1.127,2017
Kevin Love,CLEVELAND CAVALIERS,60,40,20,31.4,19.0,60.0,34.0,1.7,1.72,0.46,0.317,1.9,5.6,4.6,0.345,0.618,0.734,2017
Kevin Seraphin,INDIANA PACERS,48,23,25,11.2,4.6,16.8,9.8,0.5,1.65,0.52,0.276,1.6,1.8,2.8,0.405,0.614,0.807,2017
Kevon Looney,GOLDEN STATE WARRIORS,53,44,9,8.4,2.5,13.5,8.0,0.3,1.55,0.47,0.189,0.9,0.5,2.5,0.304,0.077,0.752,2017
Khris Middleton,MILWAUKEE BUCKS,29,19,10,30.7,14.7,54.7,32.3,2.9,3.17,2.35,0.269,1.5,2.2,0.7,0.233,0.462,1.211,2017
Klay Thompson,GOLDEN STATE WARRIORS,78,66,12,34.0,22.3,47.8,37.4,1.7,2.07,1.44,0.467,2.1,0.9,2.5,0.657,0.565,1.036,2017
Kosta Koufos,SACRAMENTO KINGS,71,27,44,20.0,6.6,29.0,15.8,0.8,1.58,0.41,0.228,3.1,1.5,6.1,0.436,0.436,0.798,2017
Kris Dunn,MINNESOTA TIMBERWOLVES,78,30,48,17.1,3.8,34.6,12.2,2.7,4.73,4.09,0.108,0.2,0.0,0.5,0.5,0.0,0.619,2017
Kris Humphries,ATLANTA HAWKS,56,31,25,12.3,4.6,25.6,14.7,0.6,1.49,0.42,0.179,1.9,0.3,2.5,0.245,0.588,0.529,2017
Kristaps Porzingis,NEW YORK KNICKS,66,26,40,32.8,18.1,60.5,39.8,1.6,1.57,0.48,0.3,4.0,4.0,4.9,0.515,0.541,0.871,2017
Kyle Anderson,SAN ANTONIO SPURS,71,53,18,14.2,3.4,21.2,12.8,0.9,2.5,1.48,0.162,0.3,0.2,1.2,0.211,0.313,0.791,2017
Kyle Korver,CLEVELAND CAVALIERS,67,33,34,26.2,10.1,29.5,22.1,0.7,1.5,0.58,0.343,0.4,0.1,0.5,0.308,1.0,0.677,2017
Kyle Lowry,TORONTO RAPTORS,59,35,24,37.5,22.4,84.5,34.6,6.9,4.87,4.44,0.265,0.6,0.3,1.2,0.486,0.0,0.589,2017
Kyle O'Quinn,NEW YORK KNICKS,79,29,50,15.6,6.3,30.6,17.7,0.9,1.72,0.3,0.205,2.7,1.1,4.0,0.335,0.382,0.705,2017
Kyle Singler,OKLAHOMA CITY THUNDER,32,15,17,12.0,2.8,12.5,8.3,0.3,1.58,0.71,0.221,0.3,0.0,0.5,0.25,0.0,0.8,2017
Kyle Wiltjer,HOUSTON ROCKETS,14,12,2,3.1,0.9,6.1,3.7,0.2,1.59,0.73,0.151,0.0,0.1,0.2,0.0,0.0,0.333,2017
Kyrie Irving,CLEVELAND CAVALIERS,72,47,25,35.1,25.2,79.0,30.3,6.7,5.07,4.87,0.319,1.2,0.9,1.5,0.739,0.712,0.667,2017
LaMarcus Aldridge,SAN ANTONIO SPURS,71,52,19,32.4,17.3,54.1,39.8,1.8,2.0,0.84,0.32,3.5,10.1,5.3,0.29,0.468,0.899,2017
Lamar Patterson,ATLANTA HAWKS,5,1,4,8.1,1.8,17.2,8.0,1.1,3.8,3.15,0.105,0.2,0.0,0.4,0.0,0.0,0.0,2017
Lance Stephenson,INDIANA PACERS,18,8,10,20.1,6.8,35.7,19.1,2.9,4.92,4.62,0.19,0.3,0.3,0.5,0.333,0.0,0.778,2017
Lance Thomas,NEW YORK KNICKS,46,15,31,21.0,6.0,29.8,20.4,0.8,1.68,0.44,0.201,0.9,0.3,1.2,0.244,0.5,0.528,2017
Langston Galloway,SACRAMENTO KINGS,74,29,45,20.2,7.9,29.6,17.5,1.6,3.2,2.79,0.267,0.5,0.1,0.5,0.27,0.0,0.514,2017
Larry Nance Jr.,LOS ANGELES LAKERS,63,21,42,22.9,7.1,36.7,20.1,0.9,1.52,0.43,0.194,3.4,1.0,4.8,0.338,0.277,0.683,2017
Larry Sanders,CLEVELAND CAVALIERS,5,2,3,2.5,0.8,4.0,2.0,0.1,1.81,0.6,0.2,0.4,0.4,1.2,0.0,0.0,0.667,2017
Lavoy Allen,INDIANA PACERS,60,31,29,14.5,3.0,23.3,11.6,0.6,1.45,0.27,0.127,1.5,0.7,3.4,0.236,0.233,0.559,2017
LeBron James,CLEVELAND CAVALIERS,74,51,23,37.8,26.4,88.1,43.2,6.4,4.36,3.28,0.3,3.3,3.9,3.8,0.531,0.41,0.921,2017
Leandro Barbosa,,65,19,46,14.5,6.4,21.5,15.8,1.0,2.9,2.52,0.295,0.3,0.0,0.4,0.316,0.0,0.667,2017
Lou Williams,HOUSTON ROCKETS,81,34,47,24.6,17.5,44.0,23.2,2.8,3.77,3.12,0.399,0.2,0.0,0.6,0.3,0.0,0.674,2017
Luc Mbah a Moute,LOS ANGELES CLIPPERS,80,49,31,22.3,6.1,20.1,12.8,0.6,1.66,0.8,0.301,0.5,0.1,1.4,0.474,0.273,0.786,2017
Lucas Nogueira,TORONTO RAPTORS,56,33,23,19.0,4.4,20.9,10.9,0.4,1.04,0.24,0.211,1.9,0.1,4.3,0.204,0.25,0.788,2017
Luis Scola,,35,7,28,12.7,5.0,24.1,15.2,0.6,1.44,0.51,0.207,1.0,1.3,2.3,0.324,0.543,0.775,2017
Luke Babbitt,MIAMI HEAT,68,35,33,15.7,4.8,26.2,13.1,0.6,1.45,0.54,0.182,0.3,0.1,0.2,0.353,0.0,0.267,2017
Luol Deng,LOS ANGELES LAKERS,56,18,38,26.5,7.6,37.6,22.3,1.2,1.99,1.08,0.202,0.8,0.9,2.0,0.667,0.4,0.802,2017
Malachi Richardson,SACRAMENTO KINGS,22,9,13,9.0,3.6,11.7,8.3,0.5,2.57,1.78,0.306,0.2,0.0,0.1,0.0,0.0,1.0,2017
Malcolm Brogdon,MILWAUKEE BUCKS,75,38,37,26.4,10.2,57.2,23.8,4.2,4.41,4.38,0.179,0.8,0.5,1.6,0.552,0.324,0.602,2017
Malcolm Delaney,ATLANTA HAWKS,73,37,36,17.1,5.4,37.0,15.5,3.0,4.88,4.56,0.145,0.2,0.0,0.3,0.0,0.0,0.381,2017
Malik Beasley,DENVER NUGGETS,21,11,10,7.7,3.8,10.0,6.8,0.4,2.12,1.42,0.376,0.1,0.0,0.4,0.0,0.0,1.75,2017
Manny Harris,DALLAS MAVERICKS,4,1,3,6.2,2.0,15.0,8.5,1.0,4.1,3.57,0.133,0.0,0.0,1.3,0.0,0.0,0.4,2017
Manu Ginobili,SAN ANTONIO SPURS,68,51,17,18.6,7.4,32.0,22.0,1.5,2.83,2.01,0.23,0.4,0.1,0.8,0.333,0.0,0.404,2017
Marc Gasol,MEMPHIS GRIZZLIES,74,40,34,34.2,19.5,74.9,56.1,2.5,2.04,0.63,0.261,8.5,10.7,4.5,0.297,0.54,0.65,2017
Marcelo Huertas,LOS ANGELES LAKERS,23,5,18,10.3,2.7,23.3,7.5,1.9,4.99,4.73,0.117,0.2,0.0,0.2,1.0,0.0,0.0,2017
Marcin Gortat,WASHINGTON WIZARDS,82,49,33,31.2,10.8,47.0,22.1,1.1,1.39,0.31,0.229,4.8,3.1,8.8,0.448,0.59,0.861,2017
Marco Belinelli,,74,34,40,24.0,10.5,30.5,24.4,1.2,2.31,1.6,0.345,0.8,0.1,1.1,0.738,0.286,0.866,2017
Marcus Georges-Hunt,ORLANDO MAGIC,5,2,3,9.5,2.8,10.8,6.8,0.5,3.0,1.96,0.259,0.2,0.0,0.4,0.0,0.0,1.0,2017
Marcus Morris Sr.,DETROIT PISTONS,79,36,43,32.5,14.0,48.2,32.0,1.7,2.12,0.94,0.29,1.3,2.0,1.5,0.619,0.665,0.75,2017
Marcus Smart,BOSTON CELTICS,79,51,28,30.4,10.6,57.2,31.7,3.5,3.67,2.88,0.185,0.8,2.1,2.6,0.197,0.454,0.696,2017
Marcus Thornton,WASHINGTON WIZARDS,33,15,18,17.4,6.6,23.0,16.0,1.1,2.83,2.25,0.289,0.5,0.1,0.9,0.667,1.0,1.241,2017
Mario Hezonja,ORLANDO MAGIC,65,20,45,14.8,4.9,19.7,13.8,0.8,2.34,1.28,0.248,0.3,0.1,0.6,0.381,0.0,0.526,2017
Markieff Morris,WASHINGTON WIZARDS,76,45,31,31.2,14.0,42.4,26.8,1.1,1.62,0.59,0.33,3.0,4.5,4.3,0.437,0.584,0.87,2017
Marquese Chriss,,80,23,57,21.3,9.2,35.4,19.9,0.8,1.37,0.43,0.26,1.5,1.6,3.4,0.432,0.377,0.915,2017
Marreese Speights,LOS ANGELES CLIPPERS,82,51,31,15.7,8.7,28.2,16.8,0.7,1.45,0.31,0.307,0.9,1.2,2.4,0.533,0.737,0.938,2017
Marshall Plumlee,NEW YORK KNICKS,21,6,15,8.1,1.9,11.0,6.3,0.3,1.68,0.4,0.173,1.5,0.7,2.2,0.29,0.133,0.478,2017
Marvin Williams,,76,32,44,30.2,11.2,61.4,28.7,1.2,1.19,0.28,0.182,1.8,1.1,2.2,0.522,0.407,0.837,2017
Mason Plumlee,DENVER NUGGETS,81,38,43,26.5,10.4,45.8,30.4,1.7,2.19,1.01,0.227,4.9,1.6,6.9,0.421,0.276,0.808,2017
Matt Barnes,GOLDEN STATE WARRIORS,74,38,36,24.0,7.1,47.4,27.3,1.5,1.84,0.67,0.15,1.5,0.4,2.2,0.36,0.167,0.663,2017
Matthew Dellavedova,MILWAUKEE BUCKS,76,39,37,26.1,7.6,53.7,23.0,4.0,4.44,4.32,0.141,0.5,0.4,0.5,0.293,0.138,0.405,2017
Maurice Harkless,PORTLAND TRAIL BLAZERS,77,38,39,28.9,10.0,33.7,21.9,1.0,1.83,0.81,0.298,0.8,1.7,4.3,0.793,0.611,0.882,2017
Maurice Ndour,NEW YORK KNICKS,32,10,22,10.4,3.1,15.4,9.4,0.4,1.57,0.39,0.199,1.3,0.8,2.0,0.349,0.32,0.73,2017
Metta World Peace,LOS ANGELES LAKERS,25,8,17,6.4,2.3,8.2,5.9,0.3,2.52,1.33,0.279,0.2,0.6,0.1,0.0,0.571,0.0,2017
Meyers Leonard,PORTLAND TRAIL BLAZERS,74,37,37,16.5,5.4,26.4,16.4,0.7,1.65,0.4,0.205,1.3,0.7,1.4,0.232,0.531,0.519,2017
Michael Beasley,MILWAUKEE BUCKS,56,23,33,16.7,9.4,27.9,16.8,0.9,2.03,0.99,0.338,1.5,1.1,2.2,0.6,0.688,0.844,2017
Michael Carter-Williams,CHICAGO BULLS,45,25,20,18.8,6.6,40.7,16.8,2.8,4.06,3.47,0.162,0.3,0.2,0.9,0.929,0.444,0.8,2017
Michael Gbinije,DETROIT PISTONS,9,7,2,3.5,0.4,4.8,2.9,0.2,1.98,0.7,0.093,0.1,0.1,0.4,2.0,0.0,0.5,2017
Michael Kidd-Gilchrist,,81,36,45,29.0,9.2,31.9,18.6,1.1,2.08,1.35,0.287,1.0,0.6,3.2,0.649,0.708,0.68,2017
Mike Conley,MEMPHIS GRIZZLIES,69,35,34,33.2,20.5,83.7,34.0,7.5,5.37,5.14,0.245,1.1,0.1,0.6,0.519,0.222,0.558,2017
Mike Dunleavy,ATLANTA HAWKS,53,34,19,15.9,5.2,19.3,14.7,0.6,1.75,0.77,0.269,0.3,0.1,0.9,0.176,0.0,0.82,2017
Mike Miller,DENVER NUGGETS,19,8,11,7.8,1.5,15.8,7.6,0.6,2.15,1.24,0.093,0.2,0.2,0.1,0.0,0.667,0.0,2017
Mike Muscala,ATLANTA HAWKS,70,36,34,17.7,6.2,28.8,17.9,0.6,1.25,0.32,0.216,2.2,0.7,3.2,0.344,0.231,0.744,2017
Mike Scott,ATLANTA HAWKS,18,7,11,10.8,2.5,16.3,10.7,0.4,1.53,0.64,0.154,1.2,0.9,1.4,0.455,0.235,0.615,2017
Mike Tobey,,2,0,2,12.6,1.0,11.5,10.5,0.2,1.2,0.39,0.087,0.5,0.5,2.0,0.0,0.0,0.5,2017
Miles Plumlee,,45,19,26,10.8,2.5,10.3,6.9,0.3,1.66,0.45,0.244,1.4,0.7,3.0,0.262,0.433,0.64,2017
Mindaugas Kuzminskas,NEW YORK KNICKS,68,24,44,14.9,6.3,23.6,18.5,0.8,2.02,0.92,0.264,0.7,0.3,1.8,0.422,0.261,0.959,2017
Mirza Teletovic,MILWAUKEE BUCKS,70,36,34,16.2,6.4,25.7,13.1,0.6,1.42,0.49,0.251,0.3,0.2,0.4,0.476,0.571,0.516,2017
Monta Ellis,INDIANA PACERS,73,39,34,27.0,8.5,41.7,28.4,2.2,3.21,2.3,0.203,0.6,0.1,0.5,0.262,0.5,0.629,2017
Montrezl Harrell,HOUSTON ROCKETS,58,39,19,18.3,9.1,30.3,17.7,0.8,1.56,0.48,0.3,2.9,0.4,4.9,0.72,0.917,1.08,2017
Myles Turner,INDIANA PACERS,80,42,38,31.5,14.6,47.9,28.0,1.1,1.41,0.29,0.304,4.2,2.2,6.7,0.645,0.556,0.937,2017
Nemanja Bjelica,MINNESOTA TIMBERWOLVES,65,28,37,18.3,6.2,34.1,17.4,1.0,1.7,0.64,0.182,0.5,0.2,1.7,0.645,0.6,0.823,2017
Nene,HOUSTON ROCKETS,67,47,20,17.9,9.1,29.3,17.0,0.8,1.55,0.39,0.31,3.8,0.9,5.6,0.732,0.345,0.869,2017
Nerlens Noel,DALLAS MAVERICKS,51,24,27,20.5,8.7,30.0,18.3,0.8,1.51,0.57,0.291,3.2,0.6,6.0,0.342,0.633,0.938,2017
Nick Collison,OKLAHOMA CITY THUNDER,20,10,10,6.4,1.7,13.1,7.7,0.3,1.57,0.67,0.126,1.0,0.2,1.4,0.25,0.667,1.037,2017
Nick Young,LOS ANGELES LAKERS,60,19,41,25.9,13.2,31.6,24.1,1.1,2.18,1.3,0.417,0.5,0.1,0.6,1.0,0.0,0.941,2017
Nicolas Batum,,77,35,42,34.0,15.1,62.8,46.1,2.7,2.59,1.73,0.241,1.1,2.1,1.3,0.446,0.595,0.804,2017
Nicolas Brussino,DALLAS MAVERICKS,54,18,36,9.7,2.8,15.7,10.0,0.6,2.19,1.2,0.177,0.3,0.0,0.5,0.143,0.0,0.655,2017
Nicolas Laprovittola,SAN ANTONIO SPURS,18,15,3,9.7,3.3,22.6,10.6,1.6,4.16,4.01,0.145,0.3,0.0,0.3,0.4,0.0,0.5,2017
Nik Stauskas,PHILADELPHIA 76ERS,80,27,53,27.3,9.5,42.8,28.7,1.8,2.55,2.09,0.221,0.4,0.0,0.8,0.5,0.0,0.683,2017
Nikola Jokic,DENVER NUGGETS,72,36,36,27.9,16.7,67.8,39.3,2.5,2.19,0.85,0.246,4.7,4.6,7.3,0.416,0.635,0.977,2017
Nikola Mirotic,CHICAGO BULLS,70,37,33,24.0,10.6,49.6,25.7,1.3,1.56,0.45,0.214,0.7,1.1,2.3,0.787,0.52,0.834,2017
Nikola Vucevic,ORLANDO MAGIC,75,27,48,28.8,14.6,65.0,39.6,1.8,1.69,0.52,0.225,3.9,7.7,6.4,0.495,0.372,0.77,2017
Noah Vonleh,PORTLAND TRAIL BLAZERS,74,38,36,17.1,4.4,23.4,10.5,0.6,1.62,0.6,0.189,1.1,0.9,3.5,0.398,0.377,0.615,2017
Norman Powell,TORONTO RAPTORS,75,46,29,17.9,8.2,23.3,15.4,1.1,2.94,2.35,0.352,0.1,0.0,0.5,0.571,1.333,0.821,2017
