PLAYER,TEAM,GP,W,L,MP,PTS,TOUCHES,FRONT CT TOUCHES,TIME OF POSS,AVG SEC PER TOUCH,AVG DRIB PER TOUCH, PTS PER TOUCH, ELBOW TOUCHES,POST UPS,PAINT TOUCHES,PTS PER ELBOW TOUCH,PTS PER POST TOUCH, PTS PER PAINT TOUCH,SEASON
Arinze Onuaku,CLEVELAND CAVALIERS,5,2,3,6.0,0.6,8.0,2.8,0.2,1.51,0.18,0.075,0.4,0.2,1.6,0.0,0.0,0.25,2014
Arnett Moultrie,PHILADELPHIA 76ERS,12,0,12,15.6,3.0,22.0,10.8,0.5,1.28,0.25,0.136,2.0,0.1,2.4,0.083,0.0,0.621,2014
Aron Baynes,SAN ANTONIO SPURS,53,41,12,9.3,3.0,13.3,9.1,0.3,1.4,0.36,0.228,1.5,1.5,2.9,0.418,0.286,0.66,2014
Arron Afflalo,ORLANDO MAGIC,73,21,52,35.0,18.2,59.2,43.3,2.6,2.67,1.88,0.308,1.3,3.9,1.0,0.537,0.519,0.671,2014
Austin Daye,SAN ANTONIO SPURS,22,16,6,6.7,3.0,14.4,8.9,0.4,1.78,0.69,0.209,0.4,0.3,0.6,0.0,0.429,0.429,2014
Austin Rivers,NEW ORLEANS PELICANS,69,27,42,19.4,7.7,40.0,14.8,4.0,6.03,6.25,0.192,0.7,0.1,0.7,0.298,0.286,0.674,2014
Avery Bradley,BOSTON CELTICS,60,19,41,30.9,14.9,46.4,29.4,2.3,2.92,2.7,0.32,1.0,0.0,1.9,0.596,0.0,0.69,2014
Ben Gordon,,19,8,11,14.7,5.2,21.6,17.5,0.9,2.36,1.55,0.241,0.5,0.1,0.3,0.0,0.0,0.4,2014
Ben McLemore,SACRAMENTO KINGS,81,28,53,26.8,8.8,28.5,19.8,0.9,1.95,1.17,0.31,1.3,0.2,1.2,0.358,0.615,0.66,2014
Beno Udrih,MEMPHIS GRIZZLIES,41,18,23,15.7,4.9,38.0,15.5,3.0,4.7,4.7,0.128,0.4,0.0,0.6,0.133,0.0,0.077,2014
Bernard James,DALLAS MAVERICKS,30,17,13,4.9,0.9,4.4,2.5,0.1,1.53,0.31,0.214,0.8,0.0,1.1,0.217,0.0,0.727,2014
Bismack Biyombo,,76,41,35,14.0,2.9,9.4,5.2,0.3,1.64,0.48,0.312,0.4,0.2,3.0,0.647,0.235,0.728,2014
Blake Griffin,LOS ANGELES CLIPPERS,80,56,24,35.8,24.1,78.7,51.0,2.7,2.08,0.93,0.307,9.1,10.9,9.0,0.354,0.552,0.755,2014
Boris Diaw,SAN ANTONIO SPURS,79,60,19,25.0,9.1,49.3,30.0,1.4,1.72,0.7,0.184,2.5,2.9,3.0,0.289,0.456,0.753,2014
Bradley Beal,WASHINGTON WIZARDS,72,40,32,34.6,17.1,57.9,47.6,2.4,2.54,2.01,0.295,1.5,0.3,1.3,0.458,0.381,0.778,2014
Brandan Wright,DALLAS MAVERICKS,58,36,22,18.6,9.1,21.6,13.6,0.5,1.34,0.4,0.418,3.6,0.4,5.4,0.607,0.348,1.029,2014
Brandon Bass,BOSTON CELTICS,82,25,57,27.6,11.1,38.3,24.2,1.2,1.9,0.72,0.29,2.9,4.4,4.4,0.423,0.639,0.756,2014
Brandon Davies,PHILADELPHIA 76ERS,51,15,36,11.3,2.8,17.7,10.0,0.5,1.56,0.39,0.16,1.4,1.2,2.3,0.214,0.5,0.664,2014
Brandon Jennings,DETROIT PISTONS,80,28,52,34.1,15.5,81.9,26.1,7.6,5.55,5.83,0.19,0.7,0.0,0.9,0.456,0.0,0.441,2014
Brandon Knight,MILWAUKEE BUCKS,72,13,59,33.3,17.9,83.5,34.6,6.7,4.83,5.05,0.215,1.2,0.1,1.3,0.382,0.75,0.589,2014
Brandon Rush,UTAH JAZZ,38,13,25,11.0,2.1,13.9,11.2,0.5,2.04,1.02,0.149,0.1,0.0,0.1,0.0,0.0,0.0,2014
Brian Roberts,NEW ORLEANS PELICANS,72,28,44,23.1,9.4,51.3,17.8,4.8,5.6,5.77,0.183,0.8,0.0,0.3,0.542,0.0,0.25,2014
Brook Lopez,,17,7,10,31.4,20.7,40.2,29.8,1.3,1.99,0.65,0.515,4.9,10.9,8.3,0.398,0.661,1.014,2014
Byron Mullens,PHILADELPHIA 76ERS,45,16,29,9.2,4.2,17.0,9.4,0.4,1.35,0.24,0.248,0.8,0.8,1.2,0.27,0.342,0.981,2014
C.J. Watson,INDIANA PACERS,63,48,15,18.9,6.6,39.4,13.5,3.2,4.84,4.81,0.167,0.3,0.0,0.7,0.619,1.333,1.111,2014
CJ McCollum,PORTLAND TRAIL BLAZERS,38,21,17,12.5,5.3,17.8,11.4,1.0,3.21,2.76,0.297,0.3,0.0,0.3,0.636,0.0,0.833,2014
CJ Miles,CLEVELAND CAVALIERS,51,21,30,19.3,9.9,24.5,19.0,0.8,1.95,1.12,0.403,0.8,0.1,0.4,0.65,0.5,0.909,2014
Carl Landry,SACRAMENTO KINGS,18,5,13,12.9,4.2,17.8,10.0,0.5,1.83,0.43,0.237,1.8,1.6,2.2,0.242,0.536,0.846,2014
Carlos Boozer,CHICAGO BULLS,76,43,33,28.2,13.7,47.0,31.2,1.3,1.64,0.45,0.292,6.1,6.6,6.2,0.445,0.48,0.818,2014
Carmelo Anthony,NEW YORK KNICKS,77,35,42,38.7,27.4,69.8,43.0,4.1,3.51,2.35,0.393,4.5,8.1,3.4,0.632,0.554,0.856,2014
Caron Butler,OKLAHOMA CITY THUNDER,55,21,34,25.3,10.5,39.4,26.7,1.3,2.02,0.85,0.266,1.4,1.8,0.8,0.205,0.577,0.659,2014
Carrick Felix,CLEVELAND CAVALIERS,7,2,5,5.4,2.7,8.3,6.6,0.3,2.38,1.38,0.328,0.6,0.0,0.4,0.5,0.0,2.0,2014
Cartier Martin,ATLANTA HAWKS,59,27,32,14.7,5.6,18.4,13.6,0.6,1.94,1.14,0.304,0.2,0.0,0.7,0.769,0.0,1.07,2014
Casper Ware,PHILADELPHIA 76ERS,9,3,6,12.9,5.3,28.0,9.8,2.0,4.35,4.6,0.19,0.3,0.0,0.4,0.667,0.0,1.0,2014
Chandler Parsons,HOUSTON ROCKETS,74,50,24,37.6,16.6,60.0,45.4,2.5,2.49,1.48,0.276,1.2,0.3,2.2,0.709,0.348,0.764,2014
Channing Frye,,82,48,34,28.2,11.1,47.7,25.4,1.1,1.42,0.25,0.232,1.4,1.9,1.6,0.288,0.712,0.931,2014
Charlie Villanueva,DETROIT PISTONS,20,5,15,9.0,4.6,16.9,9.8,0.4,1.33,0.32,0.272,0.7,0.4,0.8,0.308,0.571,1.063,2014
Chase Budinger,MINNESOTA TIMBERWOLVES,41,21,20,18.3,6.7,20.5,15.9,0.5,1.56,0.67,0.327,1.0,0.0,0.9,0.405,0.0,0.811,2014
Chauncey Billups,DETROIT PISTONS,19,7,12,16.3,3.8,30.3,12.9,2.5,5.01,4.45,0.125,0.1,0.2,0.4,0.0,0.0,0.0,2014
Chris Andersen,MIAMI HEAT,72,49,23,19.4,6.6,20.0,9.4,0.4,1.33,0.19,0.331,1.2,0.1,5.2,0.667,0.375,0.927,2014
Chris Babb,BOSTON CELTICS,14,3,11,9.5,1.6,10.7,7.9,0.3,1.54,0.67,0.147,0.1,0.0,0.4,0.0,0.0,0.4,2014
Chris Bosh,MIAMI HEAT,79,53,26,32.0,16.2,49.5,32.3,1.3,1.52,0.48,0.327,4.2,1.2,4.7,0.486,0.729,1.033,2014
Chris Copeland,INDIANA PACERS,41,25,16,6.5,3.7,9.3,6.5,0.3,1.88,0.66,0.402,0.3,0.2,0.3,0.0,0.5,0.667,2014
Chris Douglas-Roberts,,48,26,22,20.7,6.9,21.7,17.3,0.9,2.42,1.3,0.315,0.2,0.0,0.4,0.4,0.0,1.19,2014
Chris Johnson,BOSTON CELTICS,40,11,29,19.7,6.3,22.9,17.1,0.6,1.68,0.87,0.273,0.6,0.1,1.5,0.682,1.0,0.831,2014
Chris Kaman,LOS ANGELES LAKERS,39,13,26,18.9,10.4,39.4,23.7,1.2,1.78,0.61,0.263,4.6,3.3,5.3,0.53,0.546,0.856,2014
Chris Paul,LOS ANGELES CLIPPERS,62,44,18,35.0,19.1,96.1,37.1,8.0,5.03,4.63,0.199,1.8,1.7,0.9,0.316,0.617,0.5,2014
Chris Singleton,WASHINGTON WIZARDS,25,13,12,10.0,3.0,15.4,9.5,0.5,1.82,0.78,0.194,0.5,0.1,1.2,0.462,0.667,0.567,2014
Chris Smith,NEW YORK KNICKS,2,0,2,1.0,0.0,1.5,1.5,0.1,3.65,2.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014
Chris Wright,MILWAUKEE BUCKS,8,1,7,15.7,6.0,17.0,11.9,0.4,1.5,0.66,0.353,0.6,0.0,3.0,0.0,0.0,1.125,2014
Chuck Hayes,TORONTO RAPTORS,60,33,27,12.2,2.1,17.8,8.7,0.5,1.59,0.35,0.12,2.1,0.3,2.7,0.127,0.211,0.534,2014
Cody Zeller,,81,42,39,17.3,6.0,39.5,18.6,1.0,1.49,0.41,0.151,2.6,0.2,2.9,0.238,0.444,0.671,2014
Cole Aldrich,NEW YORK KNICKS,46,26,20,7.2,2.0,11.6,5.0,0.3,1.5,0.3,0.173,1.0,0.4,1.8,0.404,0.45,0.675,2014
Corey Brewer,MINNESOTA TIMBERWOLVES,81,40,41,32.2,12.3,39.1,29.3,1.2,1.84,0.96,0.315,1.3,0.2,2.0,0.741,0.632,0.924,2014
Cory Joseph,SAN ANTONIO SPURS,68,52,16,13.8,5.0,28.6,15.5,1.8,3.75,3.83,0.176,0.5,0.0,0.8,0.515,0.0,0.833,2014
Courtney Lee,MEMPHIS GRIZZLIES,79,47,32,25.0,9.6,34.3,24.8,1.5,2.65,1.85,0.281,0.6,0.0,0.6,0.294,0.0,0.857,2014
D.J. Augustin,CHICAGO BULLS,70,43,27,27.5,13.3,70.1,29.8,6.6,5.61,6.17,0.189,0.5,0.0,0.5,0.703,0.0,0.5,2014
DJ Stephens,MILWAUKEE BUCKS,3,0,3,4.9,2.3,7.7,4.7,0.3,2.08,1.52,0.304,0.0,0.0,1.3,0.0,0.0,0.0,2014
DJ White,,2,2,0,5.1,0.0,8.0,2.0,0.2,1.69,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014
Damian Lillard,PORTLAND TRAIL BLAZERS,82,54,28,35.8,20.7,84.4,29.7,7.5,5.31,5.23,0.245,0.7,0.0,1.0,0.441,0.0,0.56,2014
Damion James,SAN ANTONIO SPURS,5,1,4,10.1,1.2,15.0,10.8,0.4,1.63,0.87,0.08,0.6,0.0,0.6,0.0,0.0,0.667,2014
Daniel Orton,PHILADELPHIA 76ERS,22,7,15,11.4,3.0,18.3,10.0,0.5,1.59,0.4,0.161,1.1,1.8,2.3,0.28,0.359,0.6,2014
Danny Granger,LOS ANGELES CLIPPERS,41,31,10,20.7,8.2,26.9,22.2,1.0,2.24,1.09,0.306,0.6,2.2,1.4,0.154,0.356,0.831,2014
Danny Green,SAN ANTONIO SPURS,68,54,14,24.3,9.1,37.4,25.4,1.2,1.99,1.02,0.243,0.6,0.1,0.9,0.632,0.833,0.862,2014
Dante Cunningham,MINNESOTA TIMBERWOLVES,81,39,42,20.2,6.3,35.0,18.5,0.9,1.5,0.28,0.18,4.4,0.1,2.7,0.314,0.2,0.71,2014
Darius Johnson-Odom,PHILADELPHIA 76ERS,3,0,3,5.1,0.0,11.3,4.3,0.8,4.16,4.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014
Darius Miller,NEW ORLEANS PELICANS,45,14,31,16.1,4.4,16.0,12.6,0.7,2.44,1.23,0.277,0.3,0.2,0.4,0.267,0.75,0.263,2014
Darius Morris,MEMPHIS GRIZZLIES,27,16,11,11.6,4.0,25.0,10.6,2.0,4.69,4.47,0.159,0.2,0.1,0.4,0.8,0.0,0.727,2014
Darrell Arthur,DENVER NUGGETS,68,33,35,17.1,5.9,24.7,14.5,0.5,1.32,0.28,0.239,1.4,0.6,1.6,0.424,0.25,0.606,2014
Darren Collison,LOS ANGELES CLIPPERS,80,56,24,25.9,11.4,55.2,24.9,4.0,4.36,4.06,0.206,0.6,0.0,0.8,0.644,0.0,0.45,2014
David Lee,GOLDEN STATE WARRIORS,68,41,27,33.1,18.3,53.3,31.4,1.6,1.85,0.8,0.344,3.9,6.0,7.2,0.664,0.691,0.908,2014
David West,INDIANA PACERS,80,54,26,30.9,14.0,62.9,40.0,1.8,1.75,0.53,0.222,6.2,5.8,4.8,0.421,0.538,0.749,2014
DeAndre Jordan,LOS ANGELES CLIPPERS,82,57,25,35.0,10.4,49.3,20.8,1.0,1.17,0.19,0.212,3.3,1.0,9.7,0.134,0.512,0.909,2014
DeAndre Liggins,MIAMI HEAT,1,1,0,1.4,2.0,2.0,2.0,0.0,1.46,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,2014
DeJuan Blair,DALLAS MAVERICKS,78,46,32,15.6,6.4,20.4,12.1,0.5,1.44,0.4,0.312,4.1,0.7,4.8,0.5,0.453,0.794,2014
DeMar DeRozan,TORONTO RAPTORS,78,44,34,38.2,22.7,61.6,48.0,3.4,3.33,2.57,0.369,2.1,2.3,1.3,0.369,0.446,0.745,2014
DeMarcus Cousins,SACRAMENTO KINGS,70,28,42,32.5,22.7,63.9,40.9,2.4,2.25,0.89,0.355,4.5,10.5,7.5,0.519,0.531,0.883,2014
DeMarre Carroll,ATLANTA HAWKS,73,37,36,32.1,11.1,46.3,31.8,1.6,2.12,1.12,0.24,0.8,0.2,3.1,0.677,0.143,0.846,2014
Dennis Schroder,ATLANTA HAWKS,48,21,27,13.0,3.6,30.6,13.4,2.3,4.61,4.35,0.119,0.1,0.0,0.2,0.333,0.0,0.5,2014
Derek Fisher,OKLAHOMA CITY THUNDER,81,59,22,17.6,5.2,26.6,13.5,1.7,3.76,3.31,0.197,0.7,0.1,0.2,0.245,0.0,0.471,2014
Deron Williams,,64,37,27,32.2,14.3,78.0,27.8,6.6,5.09,4.79,0.183,0.7,0.5,0.8,0.333,0.323,0.596,2014
Derrick Favors,UTAH JAZZ,73,25,48,30.2,13.3,55.2,28.7,1.5,1.63,0.42,0.241,5.8,6.1,7.6,0.45,0.528,0.792,2014
Derrick Rose,CHICAGO BULLS,10,5,5,31.1,15.9,84.5,33.8,6.9,4.93,4.4,0.188,1.0,0.0,1.6,0.6,0.0,0.25,2014
Derrick Williams,SACRAMENTO KINGS,77,29,48,23.4,8.1,29.7,17.9,1.1,2.18,0.98,0.271,1.2,1.0,2.4,0.517,0.635,0.92,2014
Devin Harris,DALLAS MAVERICKS,40,24,16,20.4,7.9,50.2,18.2,4.3,5.18,5.19,0.157,0.3,0.1,0.4,0.167,0.0,0.571,2014
Dewayne Dedmon,ORLANDO MAGIC,31,7,24,12.6,3.1,18.6,8.0,0.4,1.44,0.27,0.168,1.1,0.7,3.1,0.412,0.227,0.642,2014
Dexter Pittman,ATLANTA HAWKS,2,0,2,1.5,0.0,1.0,1.0,0.1,3.18,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2014
Diante Garrett,UTAH JAZZ,71,23,48,14.8,3.5,33.0,13.7,2.6,4.7,4.78,0.106,0.3,0.0,0.3,0.25,0.0,0.5,2014
Dion Waiters,CLEVELAND CAVALIERS,70,28,42,29.6,15.9,47.7,35.5,3.0,3.77,3.24,0.334,0.5,0.6,0.9,0.5,0.659,0.569,2014
Dionte Christmas,,31,15,16,6.4,2.3,9.4,6.5,0.4,2.36,1.45,0.244,0.2,0.0,0.6,0.8,0.0,0.526,2014
Dirk Nowitzki,DALLAS MAVERICKS,80,48,32,32.9,21.7,62.4,41.8,1.9,1.83,0.49,0.348,2.8,10.0,1.2,0.489,0.659,0.978,2014
Donald Sloan,INDIANA PACERS,48,31,17,8.2,2.3,16.8,5.5,1.7,5.99,6.36,0.137,0.1,0.0,0.3,0.333,1.0,0.917,2014
Donatas Motiejunas,HOUSTON ROCKETS,62,42,20,15.4,5.5,25.6,14.1,0.6,1.36,0.45,0.214,1.5,1.4,2.8,0.511,0.545,0.68,2014
Dorell Wright,PORTLAND TRAIL BLAZERS,68,48,20,14.5,5.0,20.4,13.0,0.7,2.09,1.11,0.248,0.3,0.1,0.5,0.3,0.0,0.455,2014
Doron Lamb,ORLANDO MAGIC,53,13,40,13.1,3.6,14.5,10.6,0.5,2.25,1.35,0.249,0.3,0.0,0.2,0.357,0.0,0.0,2014
Draymond Green,GOLDEN STATE WARRIORS,81,50,31,21.9,6.2,36.5,16.1,1.2,1.95,0.9,0.17,1.1,1.0,2.3,0.326,0.346,0.658,2014
Drew Gooden,WASHINGTON WIZARDS,21,12,9,18.0,8.5,31.9,18.7,0.9,1.78,0.5,0.268,2.7,1.3,3.0,0.286,0.481,0.871,2014
Dwight Buycks,TORONTO RAPTORS,14,5,9,10.4,3.1,21.4,8.6,1.9,5.23,5.75,0.144,0.1,0.1,0.3,0.0,0.0,0.75,2014
Dwight Howard,HOUSTON ROCKETS,71,48,23,33.8,18.3,59.2,33.8,2.0,2.02,0.73,0.308,2.6,14.5,9.9,0.283,0.461,0.908,2014
Dwyane Wade,MIAMI HEAT,54,36,18,32.9,19.0,59.8,39.0,3.7,3.74,3.09,0.318,1.4,3.2,4.0,0.827,0.638,0.894,2014
E'Twaun Moore,ORLANDO MAGIC,79,22,57,19.1,6.3,24.2,15.5,1.4,3.39,3.18,0.261,0.3,0.0,0.5,0.522,0.0,0.643,2014
Earl Clark,NEW YORK KNICKS,54,22,32,14.2,4.8,19.7,12.4,0.6,1.83,0.92,0.242,0.4,0.3,0.6,0.45,0.375,0.364,2014
Earl Watson,PORTLAND TRAIL BLAZERS,24,17,7,6.7,0.5,14.6,4.9,1.3,5.3,4.95,0.034,0.2,0.0,0.2,0.0,0.0,0.0,2014
